OpenJDK 64-Bit Server VM (25.252-b09) for linux-amd64 JRE (1.8.0_252-8u252-b09-1ubuntu1-b09), built on Apr 16 2020 08:47:49 by "buildd" with gcc 9.3.0
Memory: 4k page, physical 39286120k(39105040k free), swap 10485760k(10485760k free)
CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2021-01-22T00:43:20.707+0800: 6.045: [GC (Allocation Failure) 2021-01-22T00:43:20.708+0800: 6.045: [DefNew: 1258303K->139775K(1258304K), 0.0399056 secs] 3210379K->2250418K(4054528K), 0.0411571 secs] [Times: user=0.04 sys=0.00, real=0.05 secs] 
2021-01-22T00:43:20.880+0800: 6.218: [GC (Allocation Failure) 2021-01-22T00:43:20.881+0800: 6.218: [DefNew: 1258303K->139775K(1258304K), 0.0420432 secs] 3368946K->2397501K(4054528K), 0.0430049 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:21.065+0800: 6.403: [GC (Allocation Failure) 2021-01-22T00:43:21.065+0800: 6.403: [DefNew: 1258303K->139775K(1258304K), 0.0394976 secs] 3516029K->2553796K(4054528K), 0.0403511 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:21.235+0800: 6.573: [GC (Allocation Failure) 2021-01-22T00:43:21.236+0800: 6.573: [DefNew: 1258303K->139775K(1258304K), 0.0387305 secs] 3672324K->2708087K(4054528K), 0.0397917 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:21.410+0800: 6.748: [GC (Allocation Failure) 2021-01-22T00:43:21.411+0800: 6.748: [DefNew: 1258303K->139776K(1258304K), 0.0465278 secs] 3826615K->2855117K(4054528K), 0.0474381 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:21.607+0800: 6.945: [GC (Allocation Failure) 2021-01-22T00:43:21.607+0800: 6.945: [DefNew: 1258304K->1258304K(1258304K), 0.0003574 secs]2021-01-22T00:43:21.608+0800: 6.946: [Tenured: 2715341K->473149K(2796224K), 0.0583730 secs] 3973645K->473149K(4054528K), [Metaspace: 2817K->2817K(1056768K)], 0.0602206 secs] [Times: user=0.05 sys=0.00, real=0.06 secs] 
2021-01-22T00:43:21.812+0800: 7.149: [GC (Allocation Failure) 2021-01-22T00:43:21.812+0800: 7.150: [DefNew: 1118528K->139776K(1258304K), 0.0368781 secs] 1591677K->718284K(4054528K), 0.0377209 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:21.996+0800: 7.334: [GC (Allocation Failure) 2021-01-22T00:43:21.997+0800: 7.335: [DefNew: 1258304K->139775K(1258304K), 0.0480421 secs] 1836812K->879625K(4054528K), 0.0488782 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2021-01-22T00:43:22.190+0800: 7.528: [GC (Allocation Failure) 2021-01-22T00:43:22.191+0800: 7.529: [DefNew: 1258303K->139776K(1258304K), 0.0421755 secs] 1998153K->1042486K(4054528K), 0.0431799 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:22.383+0800: 7.721: [GC (Allocation Failure) 2021-01-22T00:43:22.383+0800: 7.721: [DefNew: 1258304K->139775K(1258304K), 0.0479924 secs] 2161014K->1193494K(4054528K), 0.0488350 secs] [Times: user=0.04 sys=0.00, real=0.05 secs] 
2021-01-22T00:43:22.577+0800: 7.915: [GC (Allocation Failure) 2021-01-22T00:43:22.577+0800: 7.915: [DefNew: 1258303K->139775K(1258304K), 0.0376923 secs] 2312022K->1345226K(4054528K), 0.0386451 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:22.749+0800: 8.087: [GC (Allocation Failure) 2021-01-22T00:43:22.749+0800: 8.087: [DefNew: 1258303K->139776K(1258304K), 0.0408021 secs] 2463754K->1510500K(4054528K), 0.0416849 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:22.927+0800: 8.265: [GC (Allocation Failure) 2021-01-22T00:43:22.928+0800: 8.266: [DefNew: 1258304K->139775K(1258304K), 0.0363798 secs] 2629028K->1651587K(4054528K), 0.0372405 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:23.111+0800: 8.449: [GC (Allocation Failure) 2021-01-22T00:43:23.111+0800: 8.449: [DefNew: 1258303K->139775K(1258304K), 0.0418522 secs] 2770115K->1806159K(4054528K), 0.0427745 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:23.298+0800: 8.636: [GC (Allocation Failure) 2021-01-22T00:43:23.299+0800: 8.637: [DefNew: 1258303K->139776K(1258304K), 0.0433741 secs] 2924687K->1957199K(4054528K), 0.0442549 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:23.485+0800: 8.823: [GC (Allocation Failure) 2021-01-22T00:43:23.485+0800: 8.823: [DefNew: 1258304K->139775K(1258304K), 0.0370842 secs] 3075727K->2101667K(4054528K), 0.0381894 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
